Sample No.,Day,Time,Branch ID,Use No,DensClass,Height (m),BirdID,Duration,Ovisacs,CrawlerCount,Misc,Cloth
1,5/14/2015,10:14,L1,1,Low,1.63,BBWA,30,5,1,"1 beetle, 1 larva",1
2,5/14/2015,10:18,H1,1,High,2.22,BLBW,1,60,8,,1
3,5/14/2015,11:08,L2,1,Med,1.83,CAWA,5,10,3,,1
4,5/14/2015,11:44,M1,1,Med,1.87,CAWA,15,17,3,"1 ant, 1 thrip",1
5,5/14/2015,13:40,M2,1,Med,1.73,CMWA,30,12,0,,1
6,5/14/2015,13:46,H2,1,High,1.88,BBWA,30,39,5,"1 adult, 1 settled instar",1
7,5/14/2015,13:52,M3,1,High,1.64,OVEN,1,20,3,,1
8,5/14/2015,14:01,L3,1,Low,1.34,PAWA,1,5,0,,1
9,5/14/2015,15:27,H3,1,High,1.89,CAWA,15,40,0,,1
10,5/14/2015,15:32,L4,1,Low,1.89,OVEN,15,3,0,,1
11,5/14/2015,15:54,H4,1,High,1.59,BBWA,5,25,1,,1
12,5/14/2015,16:00,M4,1,Med,1.37,CMWA,5,13,0,,1
13,5/15/2015,11:20,H5,1,High,1.91,BLBW,15,38,2,,1
14,5/15/2015,11:22,L6,1,Low,1.12,CAWA,15,3,0,,1
15,5/15/2015,13:10,L7,1,Low,1.32,CMWA,5,4,0,,1
16,5/15/2015,13:32,H6,1,High,2.19,BBWA,5,23,2,,1
17,5/15/2015,13:53,L7ii,1,Low,1.81,OVEN,30,6,5,,1
18,5/15/2015,14:02,H7,1,High,1.64,BLBW,30,28,3,,1
19,5/15/2015,14:06,M5,1,Med,1.73,CMWA,1,14,1,,1
20,5/15/2015,14:19,L8,1,Low,1.81,BBWA,1,3,0,,1
21,5/15/2015,14:58,M6,1,Med,1.8,CAWA,30,18,10,,1
22,5/15/2015,15:08,H8,1,High,1.64,CMWA,1,54,2,,1
23,5/15/2015,15:48,M7,1,Med,1.84,BLBW,5,17,11,,1
24,5/15/2015,15:04,M8,1,Med,1.61,BBWA,15,18,2,,1
25,5/18/2015,10:09,H9,1,High,1.54,BBWA,30,31,6,,1
26,5/18/2015,10:16,L9,1,Low,1.85,BLBW,30,5,0,,1
27,5/18/2015,10:31,L10,1,Low,1.55,CAWA,1,2,3,,1
28,5/18/2015,10:56,M9,1,Med,1.54,CMWA,1,16,3,,1
29,5/18/2015,11:15,H10,1,High,1.59,BBWA,5,33,0,,1
30,5/18/2015,11:38,M10,1,High,1.39,CAWA,5,21,0,,1
31,5/18/2015,11:57,L11,1,Low,1.63,CMWA,15,8,2,,1
32,5/18/2015,12:04,H11,1,High,1.57,BLBW,15,26,4,1 thrip,1
33,5/18/2015,13:40,M11,1,High,1.53,CAWA,5,20,0,Orig. Med,1
34,5/18/2015,13:58,H12,1,High,2.42,CMWA,30,43,2,,1
35,5/18/2015,14:17,L12,1,Low,1.92,BBWA,15,7,2,,1
36,5/18/2015,14:41,M12,1,Med,1.82,BLBW,1,19,4,,1
37,5/20/2015,10:08,H13,1,High,2.21,BBWA,15,49,0,,1
38,5/20/2015,10:21,L13,1,Low,2.15,CAWA,15,5,0,,1
39,5/20/2015,10:51,L14,1,Low,1.84,CMWA,5,9,0,,1
40,5/20/2015,11:11,M13,1,Med,1.58,BLBW,5,14,1,1 winged hemipteran,1
41,5/20/2015,12:46,M14,1,Med,2.5,BBWA,30,19,1,,1
42,5/20/2015,12:57,L15,1,Low,1.99,CMWA,30,3,0,,1
43,5/20/2015,13:09,H14,1,High,2.51,CAWA,1,28,0,,1
44,5/20/2015,13:54,M15,1,Med,1.33,CMWA,1,12,1,"1 ovisac, egg",1
45,5/20/2015,14:28,H15,1,High,2.03,BBWA,30,35,0,1 ovisac fragment,1
46,5/20/2015,14:47,L16,1,Low,1.75,CAWA,1,3,0,,1
47,5/20/2015,15:13,M16,1,Med,1.86,BLBW,15,15,1,,1
48,5/20/2015,15:34,H16,1,High,2.44,CMWA,5,20,1,,1
49,5/21/2015,10:07,M17,1,High,1.29,CAWA,30,20,0,Orig. Med,1
50,5/21/2015,10:23,L17,1,Low,2.57,BBWA,30,3,0,,1
51,5/21/2015,11:11,H17,1,High,3.49,CMWA,1,21,0,,1
52,5/21/2015,11:27,M18,1,Med,1.78,BLBW,1,12,0,,1
53,5/21/2015,13:15,H18,1,High,1.94,CAWA,15,29,1,,1
54,5/21/2015,13:21,M19,1,Med,1.09,CMWA,15,18,0,,1
55,5/21/2015,13:45,L18,1,Low,1.19,BLBW,5,7,0,,1
56,5/21/2015,13:50,H19,1,High,1.38,CAWA,5,24,1,,1
57,5/21/2015,14:21,H20,1,High,1.48,BBWA,30,40,1,2 spider mites,1
58,5/21/2015,14:24,M20,1,Med,1.61,CMWA,5,13,0,,1
59,5/21/2015,14:44,L19,1,Low,1.89,CAWA,1,3,0,,1
60,5/21/2015,14:44,L20,1,Low,1.92,BLBW,15,7,0,,1
61,5/22/2015,10:28,L1,2,Low,1.63,BBWA,30,5,1,,1
62,5/22/2015,10:33,H21,1,High,2.94,CAWA,1,32,1,,1
63,5/22/2015,10:44,M21,1,Med,3.46,CMWA,5,19,1,,1
64,5/22/2015,11:12,M22,1,Med,1.53,BLBW,15,14,1,,1
65,5/22/2015,13:00,L22,1,Low,1.73,CAWA,15,4,1,1 spider mite,1
66,5/22/2015,13:08,H22,1,High,1.09,CMWA,15,26,1,,1
67,5/22/2015,13:39,H23,1,High,3.38,CMWA,5,20,0,"1 arthropod, unid.",1
68,5/22/2015,13:52,L2,2,Low,1.83,BBWA,5,9,0,,1
69,5/22/2015,14:11,H2,2,High,1.88,BBWA,30,36,1,,1
70,5/22/2015,14:26,M23,1,Med,1.6,BLBW,30,13,0,1 ant,1
71,5/22/2015,14:35,M3,2,Med,1.64,CAWA,1,15,1,,1
72,5/22/2015,14:56,L24,1,Low,1.96,CMWA,1,5,0,,1
73,5/26/2015,10:08,L25,1,Low,1.96,BBWA,30,2,0,,1
74,5/26/2015,10:16,H25,1,High,1.89,BLBW,30,22,0,1 ovisac,1
75,5/26/2015,10:28,L26,1,Low,1.88,CMWA,1,4,0,,1
76,5/26/2015,11:05,H1,2,High,2.22,BLBW,1,58,1,1 settled instar,1
77,5/26/2015,12:50,M1,2,Med,1.87,CAWA,15,14,0,1 adult,1
78,5/26/2015,13:16,H3,2,High,1.89,CAWA,15,42,0,,1
79,5/26/2015,13:17,H4,2,High,1.59,BBWA,5,26,0,"1 adult, exuvia",1
80,5/26/2015,13:40,M4,2,Med,1.37,CMWA,5,13,1,1 exuvia,1
81,5/26/2015,14:11,M27,1,Med,1.22,BLBW,30,14,0,1 settled instar,1
82,5/26/2015,14:16,L27,1,Low,1.58,CMWA,5,4,1,,1
83,5/26/2015,15:02,L4,2,Low,1.89,BBWA,15,3,1,,1
84,5/26/2015,15:07,M5,2,Med,1.73,CMWA,1,12,0,,1
85,5/27/2015,10:02,L29,1,Low,1.19,BBWA,15,5,0,,1
86,5/27/2015,10:18,H5,2,High,1.91,BLBW,15,29,0,,1
87,5/27/2015,10:41,H6,2,High,2.19,BBWA,5,24,0,,1
88,5/27/2015,10:54,M29,1,Med,2.09,CMWA,5,15,0,"1  exuvia, 1 other insect",1
89,5/27/2015,11:32,L7ii,2,Low,1.81,CAWA,30,8,0,"1 settled instar, partial ovisac",1
90,5/27/2015,11:25,M11,2,Med,1.53,BLBW,30,16,0,,1
91,5/27/2015,11:54,L8,2,Low,1.81,BBWA,1,3,0,1 winged hemipteran,1
92,5/27/2015,12:10,L3,2,Low,1.34,CAWA,1,5,0,,1
93,5/27/2015,13:32,H31,1,High,1,BLBW,30,60,0,1 exuvia,1
94,5/27/2015,13:39,L32,1,Low,1.63,CAWA,5,7,0,,1
95,5/27/2015,14:02,M8,2,Med,1.62,BBWA,15,19,0,spiky fragments,1
96,5/27/2015,14:32,M9,2,Med,1.54,CMWA,1,13,0,,1
97,5/27/2015,14:43,H12,2,High,2.42,CMWA,1,46,0,,1
98,6/3/2015,10:24,M33,1,Med,1.86,YEWA,30,13,0,1 fly,1
99,6/3/2015,10:33,L33,1,Low,1.29,MYWA,30,9,0,,1
100,6/3/2015,10:50,M15,2,Med,1.33,COYE,1,10,0,,1
101,6/3/2015,11:18,L10,2,Low,1.55,NAWA,1,1,0,,1
102,6/3/2015,11:35,M34,1,Med,2.14,YEWA,15,11,0,,0
103,6/3/2015,11:50,H11,1,High,1.57,COYE,15,21,0,,0
104,6/3/2015,13:05,H34,1,High,3.28,MYWA,5,40,1,,0
105,6/3/2015,13:17,L35,1,Low,1.76,NAWA,5,4,0,,0
106,6/3/2015,13:47,H35,1,High,2.75,COYE,30,26,0,,0
107,6/3/2015,13:54,M35,1,Med,2.14,YEWA,5,14,0,,0
108,6/3/2015,14:10,L6,2,Low,1.12,NAWA,15,1,0,,0
109,6/3/2015,14:39,H20,2,High,2.94,MYWA,1,20,0,,0
110,6/3/2015,14:39,Z1,1,Zero,1.16,COYE,30,0,0,,0
111,6/4/2015,9:46,L37,1,Low,1.43,YEWA,15,4,0,,0
112,6/4/2015,10:01,M12,2,Med,1.82,MYWA,15,12,0,,0
113,6/4/2015,10:25,L7,2,Low,1.32,COYE,5,4,0,,0
114,6/4/2015,10:38,M38,1,Med,1.75,NAWA,5,12,0,,0
115,6/4/2015,11:07,M39,1,Med,1.92,MYWA,30,18,0,,0
116,6/4/2015,11:15,L9,2,Low,1.85,YEWA,30,3,0,,0
117,6/4/2015,11:24,L40,1,Low,2,NAWA,1,4,0,,0
118,6/4/2015,11:34,M40,1,Med,1.54,COYE,1,14,0,,0
119,6/4/2015,11:47,Z2,1,Zero,1.37,COYE,5,0,0,,0
120,6/4/2015,12:52,H9,2,High,1.54,MYWA,30,21,1,,0
121,6/4/2015,12:57,H38,1,High,2.94,NAWA,5,28,0,,0
122,6/4/2015,13:38,H13,2,High,2.24,MYWA,15,56,0,,0
123,6/4/2015,13:48,H40,1,High,2.24,YEWA,1,40,0,,0
124,6/4/2015,14:01,Z3,1,Zero,1.27,MYWA,15,0,0,,0
125,6/5/2015,9:47,L15,2,Low,1.99,MYWA,30,2,0,,0
126,6/5/2015,9:54,M41,1,Med,1.77,NAWA,30,13,0,,0
127,6/5/2015,10:45,L16,2,Low,1.75,YEWA,1,2,0,,0
128,6/5/2015,10:55,M42,1,Med,1.88,YEWA,1,14,0,,0
129,6/5/2015,11:06,M43,1,Med,2.1,COYE,15,13,0,1 mite,0
130,6/5/2015,11:09,L43,1,Low,1.85,MYWA,15,3,1,,0
131,6/5/2015,11:34,M44,1,Med,2,NAWA,5,16,0,,0
132,6/5/2015,11:40,L44,1,Low,1.86,COYE,5,3,0,,0
133,6/5/2015,13:05,H41,1,High,2.77,NAWA,30,28,0,,0
134,6/5/2015,13:32,H22,2,High,3.38,YEWA,5,31,0,1 exuvia,0
135,6/5/2015,13:48,H21,2,High,1.09,MYWA,15,28,0,,0
136,6/5/2015,13:53,H44,1,High,1.23,COYE,1,23,0,"1 adult, 1 exuvia",0
137,6/5/2015,13:58,Z4,1,Zero,1.07,NAWA,1,0,0,,0
138,6/8/2015,10:47,L13,2,Low,2.15,NAWA,15,2,0,,0
139,6/8/2015,11:17,M45,1,Med,3.39,YEWA,15,12,1,"2 exuviae, 2 dead crawlers",0
140,6/8/2015,11:44,H10,2,High,1.59,MYWA,5,21,0,,0
141,6/8/2015,12:08,L46,1,Low,1.4,COYE,5,6,0,,0
142,6/8/2015,13:48,H46,1,High,3.2,NAWA,30,21,0,,0
143,6/8/2015,13:51,L47,1,Low,1.64,YEWA,30,1,0,1 exuvia,0
144,6/8/2015,14:02,L26,2,Low,1.88,MYWA,1,6,0,,0
145,6/8/2015,14:15,M46,1,Med,2.43,COYE,1,18,0,1 exuvia,0
146,6/8/2015,14:52,M23,2,Med,1.6,NAWA,30,15,0,"2 midges, 1 settled instar",0
147,6/8/2015,15:12,M10,2,Med,1.39,COYE,5,13,0,,0
148,6/8/2015,15:29,H47,1,High,2.6,YEWA,15,27,0,1 settled instar,0
149,6/8/2015,15:52,H48,1,High,3.4,NAWA,1,37,0,,0
150,6/8/2015,15:59,Z5,1,Zero,1.91,MYWA,15,0,0,,0
151,6/8/2015,16:00,Z6,1,Zero,1.79,NAWA,1,0,0,,0
152,6/10/2015,10:00,L49,1,Low,1.68,NAWA,30,3,0,,0
153,6/10/2015,10:21,H31,2,High,1,MYWA,30,50,0,"2 exuviae, 1 midge",0
154,6/10/2015,10:40,H40,2,High,2.24,YEWA,1,31,0,,0
155,6/10/2015,10:48,M49,1,Med,2.3,COYE,1,16,0,1 exuvia,0
156,6/10/2015,11:07,M50,1,Med,2.4,NAWA,15,13,0,,0
157,6/10/2015,11:34,L50,1,Low,2.06,MYWA,15,1,0,,0
158,6/10/2015,11:41,H16,2,High,2.44,YEWA,5,22,0,,0
159,6/10/2015,12:03,H20,2,Med,2.94,COYE,5,14,0,1 dislodged instar,0
160,6/10/2015,13:16,M51,1,Med,2.83,NAWA,30,11,0,,0
161,6/10/2015,13:26,L14,2,Low,1.84,YEWA,5,9,0,1 exuvia,0
162,6/10/2015,13:46,H47,2,High,2.6,YEWA,15,27,0,,0
163,6/10/2015,13:56,L40,2,Low,2,NAWA,1,1,0,,0
